scholarship_id,scholarship_name,provider,provider_type,source,official_source_url,application_url,country_of_provider,study_country,eligible_nationalities,education_level,study_mode,field_of_study,age_min,age_max,academic_requirement,minimum_percentage_or_gpa,family_income_limit,gender_eligibility,category_eligibility,disability_eligibility,residency_requirement,scholarship_amount,currency,funding_type,tuition_coverage,living_expense_coverage,travel_coverage,accommodation_coverage,application_fee,application_deadline,scholarship_duration,number_of_awards,documents_required,eligibility_criteria,selection_criteria,description,renewable,last_verified
SCH_0740,Global Scholarships to study Online at UNICAF University,Global Scholarships to study Online at UNICAF University,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/2991/Global_Scholarships_to_study_Online_at_UNICAF_University,https://www.iefa.org/scholarships/2991/Global_Scholarships_to_study_Online_at_UNICAF_University,International,International,Unrestricted,Any,Full-time,"Business/Management, Computer & Information Systems, Education...",Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay","Nationalities: Unrestricted; Host country: Unrestricted; Fields: Business/Management, Computer & Information Systems, Education....","Merit, essay response, and academic verification.",Pursuing higher level international education is a huge commitment. But what if there was an internationally accredited program that is...,Not specified,2026-09-16
SCH_0741,"DirectTextbook.com ""Focus"" Photo Essay Contest",International Organization / Foundation,Organization / Foundation,IEFA,"https://www.iefa.org/scholarships/2990/DirectTextbook.com_""Focus""_Photo_Essay_Contest","https://www.iefa.org/scholarships/2990/DirectTextbook.com_""Focus""_Photo_Essay_Contest",International,International,Unrestricted,Any,Full-time,Unrestricted,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: Unrestricted; Fields: Unrestricted.,"Merit, essay response, and academic verification.","Description: Submit your original photo that captures the essence of what the theme ""Focus"" means to you. Applications will no...",Not specified,2026-09-16
SCH_0742,Pretty Photoshop Actions Scholarship Program,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/2989/Pretty_Photoshop_Actions_Scholarship_Program,https://www.iefa.org/scholarships/2989/Pretty_Photoshop_Actions_Scholarship_Program,Canada,USA,Unrestricted,Any,Full-time,Unrestricted,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: Canada and United States; Fields: Unrestricted.,"Merit, essay response, and academic verification.",Pretty Photoshop Actions recognizes the importance of higher education and the role it plays in our personal and professional fulfillment....,Not specified,2026-09-16
SCH_0743,Vape Craft Inc Scholarship Fund,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/2979/Vape_Craft_Inc_Scholarship_Fund,https://www.iefa.org/scholarships/2979/Vape_Craft_Inc_Scholarship_Fund,International,International,Unrestricted,Any,Full-time,Unrestricted,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: Unrestricted; Fields: Unrestricted.,"Merit, essay response, and academic verification.",Two students per year will win a $4000 scholarship to benefit their educational goals. Simply write a short essay and...,Not specified,2026-09-16
SCH_0744,Ugly Sweater Scholarship,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/2982/Ugly_Sweater_Scholarship,https://www.iefa.org/scholarships/2982/Ugly_Sweater_Scholarship,USA,USA,Unrestricted,Any,Full-time,Unrestricted,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: United States; Fields: Unrestricted.,"Merit, essay response, and academic verification.","The holidays are such a joyous time. The lights and festive decorations, cheerful smiles among friends and family, and, of...",Not specified,2026-09-16
SCH_0745,Outer Audio’s Love of Audio Scholarship,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/2983/Outer_Audio’s_Love_of_Audio_Scholarship,https://www.iefa.org/scholarships/2983/Outer_Audio’s_Love_of_Audio_Scholarship,International,International,Unrestricted,Postgraduate,Full-time,Unrestricted,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: Unrestricted; Fields: Unrestricted.,"Merit, essay response, and academic verification.","Outer Audio is pleased to announce the Outer Audio Love of Audio Scholarship for Undergraduate or Postgraduate students, to the...",Not specified,2026-09-16
SCH_0746,Giract's European Flavor Research Promotional Programme 8th Edition -2017-18,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/2939/Giract's_European_Flavor_Research_Promotional_Programme_8th_Edition_-2017-18,https://www.iefa.org/scholarships/2939/Giract's_European_Flavor_Research_Promotional_Programme_8th_Edition_-2017-18,"Austria, Belgium, Bulgaria...","Austria, Belgium, Bulgaria...","Afghanistan, Albania, Algeria...",Any,Full-time,"Biology/Life Sciences, Business/Management, Engineering...",Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,EUR,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay","Nationalities: Afghanistan, Albania, Algeria...; Host country: Austria, Belgium, Bulgaria...; Fields: Biology/Life Sciences, Business/Management, Engineering....","Merit, essay response, and academic verification.",The programme aims to raise the profile of flavor science research in Europe by encouraging students of differing scientific disciplines...,Not specified,2026-09-16
SCH_0747,Web Development Scholarship,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/2978/Web_Development_Scholarship,https://www.iefa.org/scholarships/2978/Web_Development_Scholarship,USA,USA,United States,Any,Full-time,Web Design & Development,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: United States; Host country: United States; Fields: Web Design & Development.,"Merit, essay response, and academic verification.",SVG is becoming more popular in web design these days. The small file size and the animation you can do...,Not specified,2026-09-16
SCH_0748,Bayside Psychotherapy Scholarship,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/2976/Bayside_Psychotherapy_Scholarship,https://www.iefa.org/scholarships/2976/Bayside_Psychotherapy_Scholarship,Australia,Australia,Australia,Any,Full-time,Health Professions and Psychology,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Australia; Host country: Australia; Fields: Health Professions and Psychology.,"Merit, essay response, and academic verification.",See here for details: www.baysidepsychotherapy.com.au/clinic-learning-program/,Not specified,2026-09-16
SCH_0749,The Titan Web Agency Bi-Annual Scholarship Program,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/2969/The_Titan_Web_Agency_Bi-Annual_Scholarship_Program,https://www.iefa.org/scholarships/2969/The_Titan_Web_Agency_Bi-Annual_Scholarship_Program,USA,USA,United States,Any,Full-time,Unrestricted,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: United States; Host country: United States; Fields: Unrestricted.,"Merit, essay response, and academic verification.","At Titan Web Agency, we believe it’s our responsibility to give back to the community and help those looking to...",Not specified,2026-09-16
SCH_0750,Lifesaver Essays-Call for Essay-Aug-Nov 2017,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/2964/Lifesaver_Essays-Call_for_Essay-Aug-Nov_2017,https://www.iefa.org/scholarships/2964/Lifesaver_Essays-Call_for_Essay-Aug-Nov_2017,International,International,Unrestricted,Any,Full-time,Unrestricted,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: Unrestricted; Fields: Unrestricted.,"Merit, essay response, and academic verification.","Lifesaver Essays, an academic help platform, announces its third Essay Writing Contest. We welcome entries from passionate writers. So feel...",Not specified,2026-09-16
SCH_0751,International Students Academic Merit Scholarship,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/2189/International_Students_Academic_Merit_Scholarship,https://www.iefa.org/scholarships/2189/International_Students_Academic_Merit_Scholarship,International,International,Unrestricted,Postgraduate,Full-time,Unrestricted,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: Unrestricted; Fields: Unrestricted.,"Merit, essay response, and academic verification.",This award is reserved for new international students at both the undergraduate and graduate levels. The award covers 50% of...,Not specified,2026-09-16
SCH_0752,Anthem Essay Contest,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/2610/Anthem_Essay_Contest,https://www.iefa.org/scholarships/2610/Anthem_Essay_Contest,International,International,Unrestricted,Any,Full-time,Unrestricted,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: Unrestricted; Fields: Unrestricted.,"Merit, essay response, and academic verification.","Entrant must be in the 8th, 9th or 10th grade. Essay must be no fewer than 600 and no more...",Not specified,2026-09-16
SCH_0753,Fresno Pacific International Student Scholarship,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/2956/Fresno_Pacific_International_Student_Scholarship,https://www.iefa.org/scholarships/2956/Fresno_Pacific_International_Student_Scholarship,USA,USA,Unrestricted,Any,Full-time,Unrestricted,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: United States; Fields: Unrestricted.,"Merit, essay response, and academic verification.","Scholarships are determined by the International Office on a holistic approach based on the combination of academics, exam scores, and...",Not specified,2026-09-16
SCH_0754,International Baccalaureate Scholarship for Truman State Applicants,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/2951/International_Baccalaureate_Scholarship_for_Truman_State_Applicants,https://www.iefa.org/scholarships/2951/International_Baccalaureate_Scholarship_for_Truman_State_Applicants,International,International,Unrestricted,Any,Full-time,Unrestricted,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: Unrestricted; Fields: Unrestricted.,"Merit, essay response, and academic verification.",Truman State University recognizes the challenging IB curriculum. Truman applicants who complete the IB Diploma will be awarded a $2000...,Not specified,2026-09-16
SCH_0755,CAPE Scholarship for Truman State Applicants,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/2952/CAPE_Scholarship_for_Truman_State_Applicants,https://www.iefa.org/scholarships/2952/CAPE_Scholarship_for_Truman_State_Applicants,International,International,Unrestricted,Any,Full-time,Unrestricted,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: Unrestricted; Fields: Unrestricted.,"Merit, essay response, and academic verification.",The Caribbean Advanced Proficiency Exam is designed to provide certification to students in the Caribbean who wish to further their...,Not specified,2026-09-16
SCH_0756,A-Level Examination Scholarship for Truman State Applicants,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/2953/A-Level_Examination_Scholarship_for_Truman_State_Applicants,https://www.iefa.org/scholarships/2953/A-Level_Examination_Scholarship_for_Truman_State_Applicants,International,International,Unrestricted,Any,Full-time,Unrestricted,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: Unrestricted; Fields: Unrestricted.,"Merit, essay response, and academic verification.","Truman recognizes the challenging A-Level curriculum by offering transfer of credit for the successful completion of many A-Level examinations, to...",Not specified,2026-09-16
SCH_0757,DuPont NutriScholars Awards,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/2957/DuPont_NutriScholars_Awards,https://www.iefa.org/scholarships/2957/DuPont_NutriScholars_Awards,India,India,India,Any,Full-time,"Biology/Life Sciences, Engineering, Applied Science...",Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay","Nationalities: India; Host country: India; Fields: Biology/Life Sciences, Engineering, Applied Science....","Merit, essay response, and academic verification.",DuPont Nutrition & Health announces 1st edition of ‘DuPont NutriScholars Awards’ program to endorse innovation in local and ethnic Indian...,Not specified,2026-09-16
SCH_0758,Kennedy Scholarship,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/2540/Kennedy_Scholarship,https://www.iefa.org/scholarships/2540/Kennedy_Scholarship,United Kingdom,United Kingdom,United Kingdom,Any,Full-time,Unrestricted,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,GBP,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: United Kingdom; Host country: United Kingdom; Fields: Unrestricted.,"Merit, essay response, and academic verification.",Kennedy Scholarships are part of the British national memorial to the late President and offer fully-funded awards to British citizens...,Not specified,2026-09-16
SCH_0759,Northwest International Achievement Scholarship,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/2690/Northwest_International_Achievement_Scholarship,https://www.iefa.org/scholarships/2690/Northwest_International_Achievement_Scholarship,International,International,Unrestricted,Any,Full-time,Unrestricted,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: Unrestricted; Fields: Unrestricted.,"Merit, essay response, and academic verification.",This award will represent the value of the difference in price between in-state and out-of-state tuition. It is equivalent to...,Not specified,2026-09-16
SCH_0760,Northwest Merit Scholarship,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/2691/Northwest_Merit_Scholarship,https://www.iefa.org/scholarships/2691/Northwest_Merit_Scholarship,USA,USA,Unrestricted,Any,Full-time,Unrestricted,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: United States; Fields: Unrestricted.,"Merit, essay response, and academic verification.",Scholarship based on student taking SAT or ACT exam (not required for Admission to university). Awards given based on SAT/ACT...,Not specified,2026-09-16
SCH_0761,Northwest IB Scholarship,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/2955/Northwest_IB_Scholarship,https://www.iefa.org/scholarships/2955/Northwest_IB_Scholarship,USA,USA,Unrestricted,Undergraduate,Full-time,Unrestricted,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: United States; Fields: Unrestricted.,"Merit, essay response, and academic verification.",$1000 award first year ONLY for student graduating from an International Baccalaureate high school. Award given to the first 20...,Not specified,2026-09-16
SCH_0762,Internet Marketing Scholarship,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/2954/Internet_Marketing_Scholarship,https://www.iefa.org/scholarships/2954/Internet_Marketing_Scholarship,Australia,Canada,Unrestricted,Postgraduate,Full-time,Business/Management and Web Design & Development,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,CAD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay","Nationalities: Unrestricted; Host country: Afghanistan, Australia, Cambodia and Canada; Fields: Business/Management and Web Design & Development.","Merit, essay response, and academic verification.","We are the GuideTopReview Company, we have created a project called ""Internet Marketing Scholarship"" for Poor Students, Undergraduate or Postgraduate...",Not specified,2026-09-16
SCH_0763,DirectTextbook.com 2017 Haiku Scholarship Contest,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/2949/DirectTextbook.com_2017_Haiku_Scholarship_Contest,https://www.iefa.org/scholarships/2949/DirectTextbook.com_2017_Haiku_Scholarship_Contest,International,International,Unrestricted,Any,Full-time,Unrestricted,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: Unrestricted; Fields: Unrestricted.,"Merit, essay response, and academic verification.",DirectTextbook.com 2017 Haiku Scholarship Contest Award amounts: Two $500 Scholarships: Haikus selected by Direct Textbook Two $500 Scholarships: Haikus with the most...,Not specified,2026-09-16
SCH_0764,Sitka Campus Student Scholarships and Tuition Waivers,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/2944/Sitka_Campus_Student_Scholarships_and_Tuition_Waivers,https://www.iefa.org/scholarships/2944/Sitka_Campus_Student_Scholarships_and_Tuition_Waivers,International,International,Unrestricted,Any,Full-time,Unrestricted,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: Unrestricted; Fields: Unrestricted.,"Merit, essay response, and academic verification.",Any student admitted to a UAS Sitka Campus program and attending at least 6 credits or more of Sitka Classes...,Not specified,2026-09-16
SCH_0765,The Law Offices of Sean M. Cleary 2017 Scholarship,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/2938/The_Law_Offices_of_Sean_M._Cleary_2017_Scholarship,https://www.iefa.org/scholarships/2938/The_Law_Offices_of_Sean_M._Cleary_2017_Scholarship,International,International,Unrestricted,Any,Full-time,Unrestricted,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: Unrestricted; Fields: Unrestricted.,"Merit, essay response, and academic verification.","Our $1,000 scholarship is intended to support one student who will help raise awareness on the deadly effects of teen...",Not specified,2026-09-16
SCH_0766,A Better Florist Scholarship,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/2936/A_Better_Florist_Scholarship,https://www.iefa.org/scholarships/2936/A_Better_Florist_Scholarship,International,International,Unrestricted,Any,Full-time,Unrestricted,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: Unrestricted; Fields: Unrestricted.,"Merit, essay response, and academic verification.",A Better Florist's team consists of young and talented inspiring entrepreneurs with the knack for innovation and all things creative....,Not specified,2026-09-16
SCH_0767,The10Pro Scholarship Program,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/2933/The10Pro_Scholarship_Program,https://www.iefa.org/scholarships/2933/The10Pro_Scholarship_Program,International,International,Unrestricted,Any,Full-time,Unrestricted,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: Unrestricted; Fields: Unrestricted.,"Merit, essay response, and academic verification.",Scholarship Purpose: We understand that there are intelligent students who is struggling economically with their school fees or upkeep money. This...,Not specified,2026-09-16
SCH_0768,Dash Two Essay Writing Scholarship Contest For College Seniors and Juniors,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/2911/Dash_Two_Essay_Writing_Scholarship_Contest_For_College_Seniors_and_Juniors,https://www.iefa.org/scholarships/2911/Dash_Two_Essay_Writing_Scholarship_Contest_For_College_Seniors_and_Juniors,International,International,United States,Any,Full-time,Education,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: United States; Host country: Unrestricted; Fields: Education.,"Merit, essay response, and academic verification.","As incoming college juniors and seniors look to their future after graduation, they don't often get the chance to look...",Not specified,2026-09-16
SCH_0769,Architecture & Design Scholarship,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/2929/Architecture_&_Design_Scholarship,https://www.iefa.org/scholarships/2929/Architecture_&_Design_Scholarship,Australia,Australia,Unrestricted,Postgraduate,Full-time,Architecture & Design,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: Australia; Fields: Architecture & Design.,"Merit, essay response, and academic verification.","For students studying architecure, interior design or landscape architecture at the undergraduate or post-graduate level.",Not specified,2026-09-16
SCH_0770,Women in Architecture Scholarship,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/2930/Women_in_Architecture_Scholarship,https://www.iefa.org/scholarships/2930/Women_in_Architecture_Scholarship,Australia,Australia,Australia,Postgraduate,Full-time,Architecture & Design,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Female,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Australia; Host country: Australia; Fields: Architecture & Design.,"Merit, essay response, and academic verification.",For female students studying architecture at the undergraduate or post-graduate level.,Not specified,2026-09-16
SCH_0771,The LasikPlus “My Vision” Essay Scholarship Contest,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/2928/The_LasikPlus_“My_Vision”_Essay_Scholarship_Contest_,https://www.iefa.org/scholarships/2928/The_LasikPlus_“My_Vision”_Essay_Scholarship_Contest_,International,International,Unrestricted,Any,Full-time,Unrestricted,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: Unrestricted; Fields: Unrestricted.,"Merit, essay response, and academic verification.",The LasikPlus “My Vision” Essay Scholarship Contest (the “Essay Scholarship Contest”) is designed to offer scholarship opportunities to recognize outstanding college...,Not specified,2026-09-16
